cycle,rank,fish_id,position_x,position_y,weight
6,1,5,18.261133,15.141289,2495.691583
6,1,6,11.063838,8.354293,2497.721513
6,1,7,21.365861,11.936672,2495.145700
6,2,8,19.923487,3.444499,2493.276729
6,2,9,9.059873,17.376298,2497.569989
6,2,10,16.879208,6.223451,2493.106592
6,2,11,11.463363,-0.624282,2498.766780
6,3,12,26.158933,6.713771,2497.548101
6,3,13,21.413978,7.099111,2497.310164
6,3,14,20.446705,8.270942,2496.729299
6,3,15,11.550828,14.552716,2492.672642
7,0,0,8.519959,14.501058,2494.621492
7,0,1,13.262592,25.942976,2497.549453
7,0,2,14.309317,9.201992,2495.210515
7,0,3,22.606578,17.582863,2497.710730
7,1,4,11.313196,-0.475414,2491.736574
7,1,5,14.012045,17.974940,2490.734001
7,1,6,6.831650,11.107498,2495.279083
7,1,7,17.166958,14.786310,2493.829484
7,2,8,12.132655,11.471946,2493.816633
7,2,9,4.843573,20.193855,2494.906646
7,2,10,9.429080,14.934617,2493.375721
7,2,11,2.396798,2.636611,2499.766780
7,3,12,21.980455,9.465564,2496.521348
7,3,13,17.215783,9.846383,2495.347480
7,3,14,16.240018,11.024271,2494.847033
7,3,15,7.227509,17.424372,2490.097430
8,0,0,7.290502,18.261737,2494.453837
8,0,1,12.124778,29.812756,2497.098622
8,0,2,13.192472,12.839983,2494.970139
8,0,3,23.565067,24.960276,2497.805765
8,1,4,9.959678,-0.099604,2491.814074
8,1,5,12.886244,21.665265,2490.363946
8,1,6,5.607138,14.774436,2494.702564
8,1,7,16.070517,18.508907,2493.127487
8,2,8,10.981012,15.133152,2493.677940
8,2,9,2.234155,28.180817,2495.906646
8,2,10,6.858836,22.146834,2493.714349
8,2,11,1.158177,6.257556,2498.964509
8,3,12,20.977285,13.115449,2496.335194
8,3,13,16.098848,13.498117,2494.841520
8,3,14,15.148451,14.681208,2494.335759
8,3,15,6.073926,21.217607,2489.045788
9,0,0,9.452898,16.302051,2494.412885
9,0,1,14.340630,28.041636,2495.990190
9,0,2,15.410861,10.766016,2494.406158
9,0,3,25.861423,23.023036,2497.768005
9,1,4,12.144745,-2.185944,2489.328727
9,1,5,15.129659,19.714207,2490.182942
9,1,6,7.786290,12.780723,2491.336095
9,1,7,18.291632,16.550554,2492.599589
9,2,8,13.169474,13.176867,2492.231173
9,2,9,4.382829,26.277697,2494.416492
9,2,10,10.574755,16.932455,2494.714349
9,2,11,3.338646,4.089105,2497.311149
9,3,12,23.180683,11.152874,2495.700806
9,3,13,18.338003,11.507739,2493.710129
9,3,14,23.077895,17.930613,2494.518063
9,3,15,8.197045,19.301386,2487.420683
10,0,0,8.093476,13.320016,2492.755539
10,0,1,13.062223,25.117620,2495.734416
10,0,2,14.152187,7.792564,2493.775930
10,0,3,24.611529,20.068943,2497.330500
10,1,4,10.868526,-5.285937,2487.815377
10,1,5,13.867071,16.793378,2489.710008
10,1,6,6.478565,9.766856,2490.043099
10,1,7,17.075338,13.571266,2491.101708
10,2,8,11.888233,10.166153,2490.233266
10,2,9,8.009872,22.301444,2494.694996
10,2,10,8.523647,8.407587,2494.894755
10,2,11,5.375366,-0.892336,2497.771380
10,3,12,22.003692,8.120904,2495.697916
10,3,13,17.100793,8.534186,2493.476772
10,3,14,16.612815,11.454215,2495.518063
10,3,15,6.851326,16.350063,2486.437409
11,0,0,9.289795,12.488737,2492.511021
11,0,1,14.318466,24.325517,2495.723989
11,0,2,15.446439,6.892452,2493.300825
11,0,3,26.031282,19.247026,2497.001064
11,1,4,12.092253,-6.161850,2487.770362
11,1,5,15.134367,16.008843,2489.354687
11,1,6,7.655634,8.888165,2489.782206
11,1,7,18.404397,12.725814,2490.968724
11,2,8,8.710709,7.677799,2490.501150
11,2,9,7.846164,17.272356,2495.420691
11,2,10,5.058195,13.312192,2494.929155
11,2,11,6.531896,-1.911071,2497.404059
11,3,12,23.323030,7.224547,2495.237699
11,3,13,20.172672,13.636324,2494.476772
11,3,14,17.897014,10.600112,2494.915518
11,3,15,12.527830,10.044606,2487.379086
12,0,0,13.727985,7.604747,2487.204758
12,0,1,18.806470,19.468753,2492.605136
12,0,2,19.993379,1.892475,2490.729748
12,0,3,30.000000,14.129073,2497.108672
